Voltage_V,dQdV_mAh_per_V,Step
3.6331162,158.355668543306,Charge
3.6349699,158.359801541124,Charge
3.6369765,153.047204688395,Charge
3.6389642,165.731310056783,Charge
3.6406651,174.79670379058,Charge
3.6424615,167.479348726696,Charge
3.6443152,169.255254544352,Charge
3.6460733,174.791535289623,Charge
3.6478126,172.893211036097,Charge
3.6496091,175.751305936794,Charge
3.6512909,185.974176490881,Charge
3.6528962,195.059242513711,Charge
3.6544249,197.466083817509,Charge
3.655992,181.744339338154,Charge
3.6577885,187.060926384472,Charge
3.65926,209.068063256455,Charge
3.6607125,203.737673549717,Charge
3.6622605,205.042849491565,Charge
3.6636939,223.67897284174,Charge
3.6649935,223.678931037707,Charge
3.6664269,220.595593659593,Charge
3.6677647,236.95283180816,Charge
3.6690068,255.919399533769,Charge
3.6701534,264.363738245403,Charge
3.6713192,242.325588802387,Charge
3.6726761,249.903838112993,Charge
3.6737654,275.76449801426,Charge
3.6748929,278.148483546079,Charge
3.6759632,290.769967315705,Charge
3.6769953,313.607343207546,Charge
3.6779125,307.595244797158,Charge
3.6789827,313.607399683684,Charge
3.6798618,333.196201265819,Charge
3.6808174,313.5754088243,Charge
3.6818113,326.383077378095,Charge
3.6826904,371.959638479636,Charge
3.6834548,399.892576981648,Charge
3.6842191,363.489053505753,Charge
3.6851366,351.472382030503,Charge
3.6859584,363.489110008394,Charge
3.6868184,432.331096646267,Charge
3.6873724,420.900813349726,Charge
3.6882708,394.881780615546,Charge
3.6889205,438.219804266633,Charge
3.6896658,450.557728381345,Charge
3.6902773,415.353139354872,Charge
3.6911376,394.881908186928,Charge
3.6918254,426.569403492368,Charge
3.6925707,450.557591938353,Charge
3.6931822,444.238393473515,Charge
3.6939468,438.125438824671,Charge
3.6945775,484.671672438448,Charge
3.6952081,450.557455373909,Charge
3.6959343,426.509716782381,Charge
3.6966414,456.956497369929,Charge
3.6972721,456.956476300037,Charge
3.6979792,484.633163903789,Charge
3.6991642,432.300480324264,Charge
3.6999476,438.250777851208,Charge
3.7005591,420.900539904822,Charge
3.7024131,450.523867006628,Charge
3.7031584,420.900440781347,Charge
3.7050886,450.523859412464,Charge
3.7063308,450.557059712211,Charge
3.7071142,410.113871400192,Charge
3.7078214,444.205651775429,Charge
3.7084904,450.55719257703,Charge
3.7091782,444.302735055163,Charge
3.7098663,477.367061942826,Charge
3.7104588,470.388051470806,Charge
3.7111659,444.30283498115,Charge
3.7118347,438.219525303946,Charge
3.7125609,456.99050907283,Charge
3.7131724,477.404343139746,Charge
3.7138414,438.125394732184,Charge
3.7145677,477.367211294354,Charge
3.715122,420.900950043956,Charge
3.7160201,432.331406028966,Charge
3.7172241,456.956865957159,Charge
3.7178738,399.814854472858,Charge
3.7187531,404.872414701762,Charge
3.7193837,420.901138554097,Charge
3.7202055,410.114593311153,Charge
3.7208743,470.460914909837,Charge
3.7215049,444.303422259028,Charge
3.7222502,438.126019962005,Charge
3.7229002,438.157514553428,Charge
3.7236454,426.510464543559,Charge
3.7243335,438.220420098978,Charge
3.7250404,385.397487836344,Charge
3.7259197,380.764549503198,Charge
3.7266459,399.8675091661,Charge
3.7274485,463.575770469971,Charge
3.7279646,444.238986177269,Charge
3.7288246,394.933288900351,Charge
3.7295125,438.220259573443,Charge
3.7302196,415.381718660063,Charge
3.7309842,410.059868549538,Charge
3.7317104,380.811790859738,Charge
3.7325895,390.144260036995,Charge
3.7332773,420.901248400483,Charge
3.7340419,404.872478426998,Charge
3.7347872,444.303305234201,Charge
3.7354178,432.239919385692,Charge
3.7362015,355.416809465373,Charge
3.7371378,376.333935919136,Charge
3.7378259,394.907524803259,Charge
3.7386858,355.437490658425,Charge
3.7395458,394.882126920905,Charge
3.7402339,394.882145215629,Charge
3.7410939,376.357236062711,Charge
3.7418582,371.937855785954,Charge
3.7427375,371.915201572424,Charge
3.7435019,432.301110052733,Charge
3.7441516,415.437979309674,Charge
